Course,Section,Waitlist Order,ID,NAME,UST Email Address,Preferred Email Address,REGISTRATION_STATUS_DATE
 SEIS603,3,8,446,"Last395, First376",STUDENT444@GMAIL.COM,STUDENT444@GMAIL.COM,"Nov 14, 2017 11:07:49 AM"
 SEIS603,3,9,390,"Last342, ?????",STUDENT389@GMAIL.COM,STUDENT389@GMAIL.COM,"Nov 15, 2017 1:06:51 PM"
 SEIS603,3,10,481,"Last427, ?????",STUDENT479@GMAIL.COM,STUDENT479@GMAIL.COM,"Nov 15, 2017 1:18:18 PM"
 SEIS603,3,11,52,"Last51, First51",STUDENT52@GMAIL.COM,STUDENT52@GMAIL.COM,"Nov 15, 2017 2:31:18 PM"
 SEIS603,3,12,387,"Last339, First182",STUDENT386@GMAIL.COM,OTHER386@GMAIL.COM,"Nov 17, 2017 9:03:30 PM"
 SEIS603,3,13,643,"Last565, ?????",STUDENT640@GMAIL.COM,STUDENT640@GMAIL.COM,"Nov 20, 2017 10:53:59 AM"
 SEIS603,3,14,672,"Last589, ?????",STUDENT669@GMAIL.COM,STUDENT669@GMAIL.COM,"Nov 20, 2017 12:43:56 PM"
SEIS610,1,1,?????????,"Last186, First80",?????,?????,"Nov 10, 2017 2:00:18 PM"
SEIS610,1,2,501,"Last442, First5",STUDENT499@GMAIL.COM,STUDENT499@GMAIL.COM,"Nov 10, 2017 7:35:06 PM"
SEIS610,1,3,500,"Last442, First194",STUDENT498@GMAIL.COM,STUDENT498@GMAIL.COM,"Nov 10, 2017 7:35:54 PM"
SEIS610,1,4,553,"Last494, First461",STUDENT550@GMAIL.COM,STUDENT550@GMAIL.COM,"Nov 13, 2017 12:04:02 PM"
SEIS630,1,1,408,"Last360, First346",STUDENT407@GMAIL.COM,STUDENT407@GMAIL.COM,"Nov 8, 2017 5:47:16 PM"
SEIS630,1,2,305,"Last275, First529",STUDENT304@GMAIL.COM,OTHER304@GMAIL.COM,"Nov 8, 2017 6:03:11 PM"
SEIS630,1,3,204,"Last193, ?????",STUDENT203@GMAIL.COM,STUDENT203@GMAIL.COM,"Nov 9, 2017 12:18:02 PM"
SEIS630,1,4,9,"Last9, First9",STUDENT9@GMAIL.COM,STUDENT9@GMAIL.COM,"Nov 10, 2017 10:56:09 AM"
SEIS630,1,5,213,"Last199, First191",STUDENT212@GMAIL.COM,OTHER212@GMAIL.COM,"Nov 10, 2017 6:20:53 PM"
SEIS630,1,6,637,"Last560, First5",STUDENT634@GMAIL.COM,OTHER634@GMAIL.COM,"Nov 13, 2017 7:53:35 PM"
SEIS630,1,7,653,"Last573, First535",STUDENT650@GMAIL.COM,STUDENT650@GMAIL.COM,"Nov 15, 2017 7:48:38 PM"
SEIS630,1,8,286,"Last261, First80",STUDENT285@GMAIL.COM,OTHER285@GMAIL.COM,"Nov 16, 2017 1:39:40 PM"
SEIS630,1,9,?????????,"Last38, First340",?????,?????,"Nov 16, 2017 6:31:50 PM"
SEIS630,1,10,256,"Last236, ?????",STUDENT255@GMAIL.COM,STUDENT255@GMAIL.COM,"Nov 20, 2017 12:51:44 PM"
