Last Name,First Name*,ID,Confidential Ind,UST Email,Email1,Home Phone,Business Phone,Cell Phone,type,Street1,Street2,City,State,Zip,Nation,term,Course College,Course Department,crn,Course,Section,Course Title,Course Credits,Campus,Schedule,registration status,Registration Status,Final Grade,Grade Change Reason,Incomplete Extension Date,Repeat Course Ind,college,degree,Major,program,Primary Instructor ID,Primary Instructor Name,Instructor2 ID,Instructor2 Name
Last12,First12,12,,STUDENT12@GMAIL.COM,OTHER12@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22164,SEIS665,1,Dev Ops & Cloud Infrastructure,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100216842,"Baker, Jason D.",,
Last13,First13,13,,STUDENT13@GMAIL.COM,OTHER13@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,101002002,SEIS663,2,IT Security and Networking,3,,,,,A,,,,SE,MS,Data Science,SE_GR_MS,,,,
Last13,First13,13,,STUDENT13@GMAIL.COM,OTHER13@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,101001001,SEIS630,1,Database Mgmt Systems & Design,3,,,,,A,,,,SE,MS,Data Science,SE_GR_MS,,,,
Last13,First13,13,,STUDENT13@GMAIL.COM,OTHER13@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22154,SEIS632,1,Data Analytics & Visualization,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,101003004,"Rege, Manjeet  ",,
Last14,First14,14,,STUDENT14@GMAIL.COM,OTHER14@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22218,SEIS631,3,Foundations of Data Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101156625,"Glancy, Aran W.",,
Last14,First14,14,,STUDENT14@GMAIL.COM,OTHER14@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22144,SEIS610,3,Software Engineering,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101125840,"Dorin, Michael A.",,
Last14,First14,14,,STUDENT14@GMAIL.COM,OTHER14@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100968454,"Gamble, William H.",,
Last15,First15,15,,STUDENT15@GMAIL.COM,OTHER15@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22176,SEIS737,2,Big Data Management,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Data Science,SE_GR_MS,101003004,"Rege, Manjeet  ",,
Last16,First16,16,,STUDENT16@GMAIL.COM,OTHER16@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22150,SEIS630,2,Database Mgmt Systems & Design,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last16,First16,16,,STUDENT16@GMAIL.COM,OTHER16@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22146,SEIS625,2,Software Project Management,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100360148,"Naqvi, Syed H.",,
Last17,First17,17,,STUDENT17@GMAIL.COM,OTHER17@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22172,SEIS734,1,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100408312,"Lai, Chih  ",,
Last17,First17,17,,STUDENT17@GMAIL.COM,OTHER17@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22152,SEIS631,1,Foundations of Data Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101190814,"Kubisiak, Kristine  ",,
Last17,First17,17,,STUDENT17@GMAIL.COM,OTHER17@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22167,SEIS732,2,Data Warehousing,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100375463,"Haug, Frank S.",,
Last18,First18,18,,STUDENT18@GMAIL.COM,OTHER18@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22141,SEIS605,2,Technical Communications,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Software Engineering,SE_GR_MS,100293169,"Harvey, Dorian G.",,
Last18,First18,18,,STUDENT18@GMAIL.COM,OTHER18@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22144,SEIS610,3,Software Engineering,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Software Engineering,SE_GR_MS,101125840,"Dorin, Michael A.",,
Last19,First19,19,,STUDENT19@GMAIL.COM,OTHER19@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last19,First19,19,,STUDENT19@GMAIL.COM,OTHER19@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22161,SEIS663,1,IT Security and Networking,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100327251,"Mattox, Melinda J.",,
Last20,First20,20,,STUDENT20@GMAIL.COM,OTHER20@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100968454,"Gamble, William H.",,
Last20,First20,20,,STUDENT20@GMAIL.COM,OTHER20@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last21,First21,21,,STUDENT21@GMAIL.COM,OTHER21@GMAIL.COM,,,,LO,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22135,SEIS601,2,Found. of Software Dev-Java,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last21,First21,21,,STUDENT21@GMAIL.COM,OTHER21@GMAIL.COM,,,,LO,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100237351,"Betz, Charles T.",,
Last21,First21,21,,STUDENT21@GMAIL.COM,OTHER21@GMAIL.COM,,,,LO,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100968454,"Gamble, William H.",,
Last22,First22,22,,STUDENT22@GMAIL.COM,OTHER22@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22143,SEIS610,2,Software Engineering,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last22,First22,22,,STUDENT22@GMAIL.COM,OTHER22@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22140,SEIS605,1,Technical Communications,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100819629,"Livingston, Kirk T.",,
Last23,First23,23,,STUDENT23@GMAIL.COM,OTHER23@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22173,SEIS734,2,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100408312,"Lai, Chih  ",,
Last23,First23,23,,STUDENT23@GMAIL.COM,OTHER23@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22139,SEIS603,3,Found. Software Dev-Python,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100376738,"Level, Eric V.",,
Last24,First24,24,,STUDENT24@GMAIL.COM,OTHER24@GMAIL.COM,,,,HM,,,,,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100237351,"Betz, Charles T.",,
Last24,First24,24,,STUDENT24@GMAIL.COM,OTHER24@GMAIL.COM,,,,HM,,,,,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22162,SEIS663,2,IT Security and Networking,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101142921,"Wallerstedt, Theodore M.",,
Last24,First24,24,,STUDENT24@GMAIL.COM,OTHER24@GMAIL.COM,,,,HM,,,,,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100968454,"Gamble, William H.",,
Last25,First25,25,,STUDENT25@GMAIL.COM,OTHER25@GMAIL.COM,,,,LO,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22180,SEIS763,1,Machine Learning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100408312,"Lai, Chih  ",,
Last25,First25,25,,STUDENT25@GMAIL.COM,OTHER25@GMAIL.COM,,,,LO,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22174,SEIS736,1,Big Data Architecture,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100464521,"Noland, Brock D.",,
Last26,First26,26,,STUDENT26@GMAIL.COM,OTHER26@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22149,SEIS630,1,Database Mgmt Systems & Design,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100407375,"Skochil, Jeffrey R.",,
Last27,First27,27,,STUDENT27@GMAIL.COM,OTHER27@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22166,SEIS732,1,Data Warehousing,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100375463,"Haug, Frank S.",,
Last27,First27,27,,STUDENT27@GMAIL.COM,OTHER27@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22162,SEIS663,2,IT Security and Networking,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101142921,"Wallerstedt, Theodore M.",,
Last28,First28,28,,STUDENT28@GMAIL.COM,OTHER28@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22156,SEIS632,3,Data Analytics & Visualization,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101003004,"Rege, Manjeet  ",,
Last28,First28,28,,STUDENT28@GMAIL.COM,OTHER28@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22177,SEIS737,3,Big Data Management,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100407592,"Rahimi, Saeed K.",,
Last28,First28,28,,STUDENT28@GMAIL.COM,OTHER28@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22173,SEIS734,2,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100408312,"Lai, Chih  ",,
Last29,First29,29,,STUDENT29@GMAIL.COM,OTHER29@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100968454,"Gamble, William H.",,
Last29,First30,30,,STUDENT30@GMAIL.COM,OTHER30@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100237351,"Betz, Charles T.",,
Last29,First30,30,,STUDENT30@GMAIL.COM,OTHER30@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22138,SEIS603,2,Found. Software Dev-Python,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Software Engineering,SE_GR_MS,100376738,"Level, Eric V.",,
Last29,First29,29,,STUDENT29@GMAIL.COM,OTHER29@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100237351,"Betz, Charles T.",,
Last29,First30,30,,STUDENT30@GMAIL.COM,OTHER30@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last30,First31,31,,STUDENT31@GMAIL.COM,OTHER31@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22180,SEIS763,1,Machine Learning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100408312,"Lai, Chih  ",,
Last30,First31,31,,STUDENT31@GMAIL.COM,OTHER31@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22172,SEIS734,1,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100408312,"Lai, Chih  ",,
Last30,First31,31,,STUDENT31@GMAIL.COM,OTHER31@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22152,SEIS631,1,Foundations of Data Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101190814,"Kubisiak, Kristine  ",,
Last31,First32,32,,STUDENT32@GMAIL.COM,OTHER32@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last31,First32,32,,STUDENT32@GMAIL.COM,OTHER32@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100968454,"Gamble, William H.",,
Last31,First32,32,,STUDENT32@GMAIL.COM,OTHER32@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100237351,"Betz, Charles T.",,
Last32,First33,33,,STUDENT33@GMAIL.COM,OTHER33@GMAIL.COM,,,,HM,,,,XX,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Information Technology,SE_GR_MS,100968454,"Gamble, William H.",,
Last32,First33,33,,STUDENT33@GMAIL.COM,OTHER33@GMAIL.COM,,,,HM,,,,XX,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22162,SEIS663,2,IT Security and Networking,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101142921,"Wallerstedt, Theodore M.",,
Last32,First33,33,,STUDENT33@GMAIL.COM,OTHER33@GMAIL.COM,,,,HM,,,,XX,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22140,SEIS605,1,Technical Communications,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100819629,"Livingston, Kirk T.",,
Last32,First33,33,,STUDENT33@GMAIL.COM,OTHER33@GMAIL.COM,,,,HM,,,,XX,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22163,SEIS664,1,Information Tech. Delivery,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Information Technology,SE_GR_MS,100237351,"Betz, Charles T.",,
Last32,First33,33,,STUDENT33@GMAIL.COM,OTHER33@GMAIL.COM,,,,HM,,,,XX,,Saudi Arabia,201820,Grad Prog in Software Eng,Software Engineering,22954,SEIS603,5,Found. Software Dev-Python,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Information Technology,SE_GR_MS,101214279,"Chetty, Damodar  ",,
Last33,First34,34,,STUDENT34@GMAIL.COM,OTHER34@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22147,SEIS626,1,Sftw Quality Assurance/Control,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100375463,"Haug, Frank S.",,
Last33,First34,34,,STUDENT34@GMAIL.COM,OTHER34@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22160,SEIS662,1,Enterprise Resource Planning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100968454,"Gamble, William H.",,
Last34,First35,35,,STUDENT35@GMAIL.COM,OTHER35@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22154,SEIS632,1,Data Analytics & Visualization,3,St Paul,Lecture,RE,**Registered**,,,,,SE,CER,Big Data,SE_GR_CER,101003004,"Rege, Manjeet  ",,
